Run number:,Thread number:,CPU_Total_Time
331,0,0.13816500000000076
332,0,0.13757799999999776
333,0,0.13808499999999668
334,0,0.13816400000000328
335,0,0.13614599999999655
336,0,0.13566799999999546
337,0,0.1374840000000006
338,0,0.13748999999999967
339,0,0.13843699999999615
340,0,0.14415300000000286
341,0,0.13736400000000515
342,0,0.13683400000000034
343,0,0.13561599999999885
344,0,0.13781000000000176
345,0,0.13972099999999443
346,0,0.13446100000000172
347,0,0.13808199999999715
348,0,0.13704399999999595
349,0,0.13676100000000702
350,0,0.13769599999999116
351,0,0.13676400000000655
352,0,0.13767899999999855
353,0,0.1369940000000014
354,0,0.13843299999999203
355,0,0.1397009999999952
356,0,0.13715799999999945
357,0,0.13763600000000054
358,0,0.13597099999999784
359,0,0.13849399999999434
360,0,0.13948899999999753
361,0,0.13641299999999035
362,0,0.13909899999999453
363,0,0.13820600000000383
364,0,0.13692100000000096
365,0,0.13805899999999838
366,0,0.1356569999999948
367,0,0.139166000000003
368,0,0.13767200000000201
369,0,0.13520900000000324
370,0,0.13744799999999913
371,0,0.13702099999999717
372,0,0.13682900000000586
373,0,0.1359159999999946
374,0,0.1428070000000048
375,0,0.1386269999999996
376,0,0.13662500000000222
377,0,0.13811600000000368
378,0,0.1387889999999956
379,0,0.1392150000000001
380,0,0.1378909999999962
381,0,0.13870000000000005
382,0,0.13740400000000363
383,0,0.13727599999999995
384,0,0.1364810000000105
385,0,0.13833199999999835
386,0,0.13584399999999874
387,0,0.13555499999999654
388,0,0.1385129999999961
389,0,0.13582199999999744
390,0,0.13803499999999502
391,0,0.13857000000000141
392,0,0.13685600000000164
393,0,0.1356269999999995
394,0,0.136451000000001
395,0,0.13790999999999798
396,0,0.13746400000000136
397,0,0.13562799999999697
398,0,0.1395870000000059
399,0,0.1423029999999983
400,0,0.1411250000000095
401,0,0.1379180000000062
402,0,0.138149999999996
403,0,0.13716800000000262
404,0,0.13934000000000424
405,0,0.13535400000000664
406,0,0.13792200000001031
407,0,0.13832000000000022
408,0,0.13670799999999872
409,0,0.1373090000000019
410,0,0.1377650000000017
411,0,0.13763700000000512
412,0,0.1373829999999998
413,0,0.13592399999999571
414,0,0.13768799999999715
415,0,0.13806900000000155
416,0,0.13590899999999806
417,0,0.13825600000000549
418,0,0.13669500000000312
419,0,0.13916499999999132
420,0,0.1372560000000007
421,0,0.13796500000000123
422,0,0.13818200000000758
423,0,0.13641699999999446
424,0,0.13696900000000056
425,0,0.1370640000000023
426,0,0.1378609999999938
427,0,0.13854500000000058
428,0,0.1373260000000016
429,0,0.1373220000000046
430,0,0.13857300000000095
431,0,0.13688100000000247
432,0,0.1373259999999945
433,0,0.13787099999999697
434,0,0.13652099999999479
435,0,0.1388899999999964
436,0,0.13641000000000503
437,0,0.13767500000000155
438,0,0.13919200000000131
439,0,0.13786300000000296
440,0,0.13757900000000234
441,0,0.13768900000000173
442,0,0.14095000000000368
443,0,0.1379000000000019
444,0,0.13511499999999188
445,0,0.1383559999999946
446,0,0.1370679999999993
447,0,0.1380579999999938
448,0,0.1367620000000045
449,0,0.135906999999996
450,0,0.13987800000000306
451,0,0.13776200000000927
452,0,0.1397660000000016
453,0,0.13945700000000016
454,0,0.1411939999999987
455,0,0.13919599999999832
456,0,0.13796700000000328
457,0,0.13635700000000384
458,0,0.13896600000000348
459,0,0.1361040000000031
460,0,0.13623300000000427
461,0,0.13769999999999527
462,0,0.1376460000000037
463,0,0.13695200000000796
464,0,0.13720700000000363
465,0,0.13914999999998656
466,0,0.13843699999999615
467,0,0.13662400000001185
468,0,0.13826599999998734
469,0,0.1361519999999956
470,0,0.1401390000000049
471,0,0.14059199999999805
472,0,0.1368750000000034
473,0,0.13702100000000428
474,0,0.13925700000001484
475,0,0.13663999999999987
476,0,0.13889799999999752
477,0,0.13598799999999756
478,0,0.13840899999998157
479,0,0.13737200000001337
480,0,0.1371549999999928
481,0,0.13744299999999043
482,0,0.1358330000000052
483,0,0.14068800000001147
484,0,0.13735099999999534
485,0,0.13748699999999303
486,0,0.1370250000000084
487,0,0.13703900000001568
488,0,0.1368449999999939
489,0,0.13765000000000782
490,0,0.13723300000000904
491,0,0.13801800000000242
492,0,0.1378310000000056
493,0,0.1368760000000151
494,0,0.1362489999999923
495,0,0.13864200000000437
496,0,0.1370239999999967
497,0,0.13738999999999635
498,0,0.13755700000000104
499,0,0.13887500000001296
500,0,0.1378789999999981
501,0,0.13762400000001662
502,0,0.1363979999999998
503,0,0.13764600000001792
504,0,0.13867899999999622
505,0,0.13793300000000386
506,0,0.13857199999999636
507,0,0.13978500000000338
508,0,0.1392579999999981
509,0,0.1380890000000079
510,0,0.13764900000001035
511,0,0.13714000000000226
512,0,0.13761900000001503
513,0,0.137597999999997
514,0,0.13594799999999907
515,0,0.1366379999999907
516,0,0.1359520000000174
517,0,0.13843699999999615
518,0,0.13917699999998945
519,0,0.13801200000000335
520,0,0.13853500000000452
521,0,0.1376549999999952
522,0,0.13900800000000402
523,0,0.1401039999999938
524,0,0.1408830000000023
525,0,0.14095399999997937
526,0,0.13794800000000862
527,0,0.13728999999999303
528,0,0.13981300000000374
529,0,0.13761300000001597
530,0,0.13867399999999463
531,0,0.13745099999998445
532,0,0.13677800000000673
533,0,0.1398229999999927
534,0,0.1361660000000029
535,0,0.13866900000000726
536,0,0.13861699999999644
537,0,0.13594799999998486
538,0,0.13680299999998624
539,0,0.13641699999999446
540,0,0.13791300000001172
541,0,0.13836799999999982
542,0,0.1406510000000054
543,0,0.13922499999998195
544,0,0.1379969999999986
545,0,0.13555999999999813
546,0,0.13845399999999586
547,0,0.13397900000001073
548,0,0.13735400000000197
549,0,0.13790300000000855
550,0,0.13609699999999236
551,0,0.13939300000001253
552,0,0.13760399999999606
553,0,0.13891799999998966
554,0,0.13681199999999194
555,0,0.13623199999999258
556,0,0.13876100000000235
557,0,0.13674199999999814
558,0,0.13953800000000172
559,0,0.1391010000000108
560,0,0.13879699999999673
561,0,0.13823000000000718
562,0,0.13923400000000186
563,0,0.1361260000000044
564,0,0.13878599999999608
565,0,0.1358769999999936
566,0,0.13559899999999914
567,0,0.1381540000000001
568,0,0.13671499999999526
